0	0.20119	1.59455	-2.07735	-1.92063	-0.128944	0.146618	0.00014488
0.013	0.201102	1.59455	-2.07736	-1.92063	-0.128944	0.146618	0.00014488
0.026	0.200963	1.59455	-2.07735	-1.92063	-0.128946	0.146618	0.00014488
0.039	0.20076	1.59455	-2.07735	-1.92063	-0.128948	0.146618	0.00014488
0.052	0.200524	1.59455	-2.07735	-1.92063	-0.12895	0.146618	0.00014488
0.065	0.20023	1.59455	-2.07735	-1.92063	-0.128955	0.146616	0.00014488
0.078	0.199899	1.59455	-2.07735	-1.92063	-0.128957	0.146618	0.00014488
0.091	0.199475	1.59455	-2.07735	-1.92063	-0.128957	0.146616	0.00014488
0.104	0.199025	1.59455	-2.07736	-1.92063	-0.128957	0.146618	0.00014488
0.117	0.198538	1.59455	-2.07736	-1.92063	-0.128957	0.146618	0.00014488
0.13	0.198027	1.59455	-2.07736	-1.92063	-0.128955	0.146618	0.00014488
0.143	0.197483	1.59455	-2.07735	-1.92063	-0.128955	0.146618	0.00014488
0.156	0.196903	1.59455	-2.07735	-1.92063	-0.128955	0.146616	0.00014488
0.169	0.196341	1.59455	-2.07735	-1.92063	-0.128955	0.146618	0.00014488
0.182	0.195775	1.59455	-2.07735	-1.92063	-0.128953	0.146618	0.00014488
0.195	0.195214	1.59455	-2.07735	-1.92062	-0.128953	0.146616	0.00014488
0.208	0.194648	1.59455	-2.07735	-1.92062	-0.128953	0.146616	0.00014488
0.221	0.194084	1.59455	-2.07735	-1.92062	-0.12895	0.146618	0.00014488
0.234	0.193528	1.59455	-2.07735	-1.92062	-0.128953	0.146616	0.00014488
0.247	0.193026	1.59455	-2.07735	-1.92062	-0.128953	0.146616	0.00014488
0.26	0.192545	1.59455	-2.07735	-1.92062	-0.128953	0.146616	0.00014488
0.273	0.192108	1.59455	-2.07736	-1.92062	-0.128953	0.146616	0.00014488
0.286	0.191714	1.59455	-2.07736	-1.92062	-0.12895	0.146616	0.00014488
0.299	0.191326	1.59455	-2.07736	-1.92062	-0.12895	0.146616	0.00014488
0.312	0.190987	1.59455	-2.07736	-1.92062	-0.12895	0.146618	0.00014488
0.325	0.19063	1.59455	-2.07736	-1.92062	-0.12895	0.146616	0.00014488
0.338	0.190323	1.59455	-2.07736	-1.92062	-0.12895	0.146618	0.00014488
0.351	0.190018	1.59455	-2.07736	-1.92062	-0.12895	0.146616	0.00014488
0.364	0.189721	1.59455	-2.07736	-1.92062	-0.12895	0.146616	0.00014488
0.377	0.189453	1.59455	-2.07736	-1.92062	-0.128953	0.146618	0.00014488
0.39	0.189206	1.59455	-2.07737	-1.92062	-0.12895	0.146618	0.00014488
0.403	0.189009	1.59455	-2.07737	-1.92062	-0.12895	0.146618	0.00014488
0.416	0.188829	1.59455	-2.07737	-1.92062	-0.12895	0.146618	0.00014488
0.429	0.188692	1.59455	-2.07737	-1.92062	-0.12895	0.146618	0.00014488
0.442	0.18858	1.59455	-2.07737	-1.92061	-0.12895	0.146618	0.00014488
0.455	0.188511	1.59455	-2.07737	-1.92061	-0.12895	0.146618	0.00014488
0.468	0.188474	1.59455	-2.07737	-1.92061	-0.12895	0.146618	0.00014488
0.481	0.188471	1.59455	-2.07737	-1.92061	-0.12895	0.146618	0.00014488
0.494	0.188479	1.59455	-2.07737	-1.92061	-0.12895	0.146618	0.00014488
0.507	0.18849	1.59455	-2.07739	-1.92061	-0.12895	0.146618	0.00014488
0.52	0.188497	1.59455	-2.07742	-1.92061	-0.12895	0.146618	0.00014488
0.533	0.188502	1.59455	-2.07748	-1.92061	-0.128953	0.146618	0.00014488
0.546	0.188503	1.59455	-2.07754	-1.92061	-0.128953	0.146618	0.00014488
0.559	0.188503	1.59455	-2.07761	-1.92061	-0.128953	0.146618	0.00014488
0.572	0.188503	1.59454	-2.07768	-1.92061	-0.128953	0.14662	0.00014488
0.585	0.188503	1.59454	-2.07777	-1.92061	-0.128955	0.14662	0.00014488
0.598	0.188503	1.59454	-2.07787	-1.92061	-0.128957	0.14662	0.00014488
0.611	0.188499	1.59452	-2.07799	-1.92061	-0.128961	0.14662	0.00014488
0.624	0.188492	1.5945	-2.07813	-1.92061	-0.128963	0.14662	0.00014488
0.637	0.188487	1.59448	-2.07829	-1.92061	-0.128965	0.14662	0.00014488
0.65	0.18848	1.59447	-2.07845	-1.92061	-0.128969	0.14662	0.00014488
0.663	0.188467	1.59445	-2.07862	-1.92061	-0.128971	0.146621	0.00014488
0.676	0.188439	1.59441	-2.0788	-1.9206	-0.128973	0.146621	0.00014488
0.689	0.188398	1.59436	-2.07894	-1.9206	-0.128979	0.146621	0.00014488
0.702	0.188341	1.59429	-2.07905	-1.9206	-0.128983	0.146621	0.00014488
0.715	0.188282	1.59421	-2.07914	-1.9206	-0.128987	0.146621	0.00014488
0.728	0.188217	1.59409	-2.0792	-1.9206	-0.128993	0.146621	0.00014488
0.741	0.188158	1.59394	-2.07927	-1.9206	-0.128998	0.146623	0.00014488
0.754	0.188103	1.59372	-2.07933	-1.92059	-0.129006	0.146623	0.00014488
